split,seed,accuracy
random,0,0.954098
random,1,0.965574
random,2,0.965574
random,3,0.962295
random,4,0.967213
random,5,0.950820
random,6,0.962295
random,7,0.962295
random,8,0.959016
random,9,0.950820
grouped,0,0.896499
grouped,1,0.873990
grouped,2,0.950427
grouped,3,0.940299
grouped,4,0.935331
grouped,5,0.889256
grouped,6,0.874016
grouped,7,0.897727
grouped,8,0.876033
grouped,9,0.886364

split,mean,sample_stdev,ci95_low,ci95_high
random,0.960000,0.006095,0.955640,0.964360
grouped,0.901994,0.029098,0.881179,0.922810

gap,0.058006,,0.038661,0.077350
paired_t_test,t=6.7832,p=0.0001,n=10,
