corruption,severity,accuracy,ece
clean,0,0.896499,0.083044
brightness,1,0.779300,0.189866
brightness,2,0.770167,0.194332
brightness,3,0.691020,0.240868
brightness,4,0.549467,0.312451
brightness,5,0.477930,0.345572
contrast,1,0.894977,0.081066
contrast,2,0.882801,0.094258
contrast,3,0.869102,0.112643
contrast,4,0.744292,0.224344
contrast,5,0.715373,0.260631
gaussian_noise,1,0.875190,0.100558
gaussian_noise,2,0.823440,0.136863
gaussian_noise,3,0.525114,0.326311
gaussian_noise,4,0.445967,0.318547
gaussian_noise,5,0.385084,0.614904
blur,1,0.896499,0.082140
blur,2,0.894977,0.085945
blur,3,0.882801,0.088977
blur,4,0.761035,0.176435
blur,5,0.681887,0.222019
downsample,1,0.890411,0.093394
downsample,2,0.888889,0.090760
downsample,3,0.879756,0.096227
downsample,4,0.875190,0.105554
downsample,5,0.829528,0.128002
bias_field,1,0.894977,0.086675
bias_field,2,0.891933,0.088488
bias_field,3,0.891933,0.088303
bias_field,4,0.896499,0.096688
bias_field,5,0.893455,0.095327
