coverage,accuracy_shifted
0.0005,1.0000
0.0011,1.0000
0.0016,1.0000
0.0021,1.0000
0.0026,1.0000
0.0032,1.0000
0.0037,1.0000
0.0042,1.0000
0.0047,1.0000
0.0053,1.0000
0.0058,1.0000
0.0063,1.0000
0.0069,1.0000
0.0074,1.0000
0.0079,1.0000
0.0084,1.0000
0.0090,1.0000
0.0095,1.0000
0.0100,1.0000
0.0105,1.0000
0.0111,1.0000
0.0116,1.0000
0.0121,1.0000
0.0127,1.0000
0.0132,1.0000
0.0137,1.0000
0.0142,1.0000
0.0148,1.0000
0.0153,1.0000
0.0158,1.0000
0.0164,1.0000
0.0169,1.0000
0.0174,1.0000
0.0179,1.0000
0.0185,1.0000
0.0190,1.0000
0.0195,1.0000
0.0200,1.0000
0.0206,1.0000
0.0211,1.0000
0.0216,1.0000
0.0222,1.0000
0.0227,1.0000
0.0232,1.0000
0.0237,1.0000
0.0243,1.0000
0.0248,1.0000
0.0253,1.0000
0.0258,1.0000
0.0264,1.0000
0.0269,1.0000
0.0274,1.0000
0.0280,1.0000
0.0285,1.0000
0.0290,1.0000
0.0295,1.0000
0.0301,1.0000
0.0306,1.0000
0.0311,1.0000
0.0316,1.0000
0.0322,1.0000
0.0327,1.0000
0.0332,1.0000
0.0338,1.0000
0.0343,1.0000
0.0348,1.0000
0.0353,1.0000
0.0359,1.0000
0.0364,1.0000
0.0369,1.0000
0.0374,1.0000
0.0380,1.0000
0.0385,1.0000
0.0390,1.0000
0.0396,1.0000
0.0401,1.0000
0.0406,1.0000
0.0411,1.0000
0.0417,1.0000
0.0422,1.0000
0.0427,1.0000
0.0432,1.0000
0.0438,1.0000
0.0443,1.0000
0.0448,1.0000
0.0454,1.0000
0.0459,1.0000
0.0464,1.0000
0.0469,1.0000
0.0475,1.0000
0.0480,1.0000
0.0485,1.0000
0.0491,1.0000
0.0496,1.0000
0.0501,1.0000
0.0506,1.0000
0.0512,1.0000
0.0517,1.0000
0.0522,1.0000
0.0527,1.0000
0.0533,1.0000
0.0538,1.0000
0.0543,1.0000
0.0549,1.0000
0.0554,1.0000
0.0559,1.0000
0.0564,1.0000
0.0570,1.0000
0.0575,1.0000
0.0580,1.0000
0.0585,1.0000
0.0591,1.0000
0.0596,1.0000
0.0601,1.0000
0.0607,1.0000
0.0612,1.0000
0.0617,1.0000
0.0622,1.0000
0.0628,1.0000
0.0633,1.0000
0.0638,1.0000
0.0643,1.0000
0.0649,1.0000
0.0654,1.0000
0.0659,1.0000
0.0665,1.0000
0.0670,1.0000
0.0675,1.0000
0.0680,1.0000
0.0686,1.0000
0.0691,1.0000
0.0696,1.0000
0.0701,1.0000
0.0707,1.0000
0.0712,1.0000
0.0717,1.0000
0.0723,1.0000
0.0728,1.0000
0.0733,1.0000
0.0738,1.0000
0.0744,1.0000
0.0749,1.0000
0.0754,1.0000
0.0759,1.0000
0.0765,1.0000
0.0770,1.0000
0.0775,1.0000
0.0781,1.0000
0.0786,1.0000
0.0791,1.0000
0.0796,1.0000
0.0802,1.0000
0.0807,1.0000
0.0812,1.0000
0.0818,1.0000
0.0823,1.0000
0.0828,1.0000
0.0833,1.0000
0.0839,1.0000
0.0844,1.0000
0.0849,1.0000
0.0854,1.0000
0.0860,1.0000
0.0865,1.0000
0.0870,1.0000
0.0876,1.0000
0.0881,1.0000
0.0886,1.0000
0.0891,1.0000
0.0897,1.0000
0.0902,1.0000
0.0907,1.0000
0.0912,1.0000
0.0918,1.0000
0.0923,1.0000
0.0928,1.0000
0.0934,1.0000
0.0939,1.0000
0.0944,1.0000
0.0949,1.0000
0.0955,1.0000
0.0960,1.0000
0.0965,1.0000
0.0970,1.0000
0.0976,1.0000
0.0981,1.0000
0.0986,1.0000
0.0992,1.0000
0.0997,1.0000
0.1002,1.0000
0.1007,1.0000
0.1013,1.0000
0.1018,1.0000
0.1023,1.0000
0.1028,1.0000
0.1034,1.0000
0.1039,1.0000
0.1044,1.0000
0.1050,1.0000
0.1055,1.0000
0.1060,1.0000
0.1065,1.0000
0.1071,1.0000
0.1076,1.0000
0.1081,1.0000
0.1086,1.0000
0.1092,1.0000
0.1097,1.0000
0.1102,1.0000
0.1108,1.0000
0.1113,1.0000
0.1118,1.0000
0.1123,1.0000
0.1129,1.0000
0.1134,1.0000
0.1139,1.0000
0.1145,1.0000
0.1150,1.0000
0.1155,1.0000
0.1160,1.0000
0.1166,1.0000
0.1171,1.0000
0.1176,1.0000
0.1181,1.0000
0.1187,1.0000
0.1192,1.0000
0.1197,1.0000
0.1203,1.0000
0.1208,1.0000
0.1213,1.0000
0.1218,1.0000
0.1224,1.0000
0.1229,1.0000
0.1234,1.0000
0.1239,1.0000
0.1245,1.0000
0.1250,1.0000
0.1255,1.0000
0.1261,1.0000
0.1266,1.0000
0.1271,1.0000
0.1276,1.0000
0.1282,1.0000
0.1287,1.0000
0.1292,1.0000
0.1297,1.0000
0.1303,1.0000
0.1308,1.0000
0.1313,1.0000
0.1319,1.0000
0.1324,1.0000
0.1329,1.0000
0.1334,1.0000
0.1340,1.0000
0.1345,1.0000
0.1350,1.0000
0.1355,1.0000
0.1361,1.0000
0.1366,1.0000
0.1371,1.0000
0.1377,1.0000
0.1382,1.0000
0.1387,1.0000
0.1392,1.0000
0.1398,1.0000
0.1403,1.0000
0.1408,1.0000
0.1414,1.0000
0.1419,1.0000
0.1424,1.0000
0.1429,1.0000
0.1435,1.0000
0.1440,1.0000
0.1445,1.0000
0.1450,1.0000
0.1456,1.0000
0.1461,1.0000
0.1466,1.0000
0.1472,1.0000
0.1477,1.0000
0.1482,1.0000
0.1487,1.0000
0.1493,1.0000
0.1498,1.0000
0.1503,1.0000
0.1508,1.0000
0.1514,1.0000
0.1519,1.0000
0.1524,1.0000
0.1530,1.0000
0.1535,1.0000
0.1540,1.0000
0.1545,1.0000
0.1551,1.0000
0.1556,1.0000
0.1561,1.0000
0.1566,1.0000
0.1572,1.0000
0.1577,1.0000
0.1582,1.0000
0.1588,1.0000
0.1593,1.0000
0.1598,1.0000
0.1603,1.0000
0.1609,1.0000
0.1614,1.0000
0.1619,1.0000
0.1624,1.0000
0.1630,1.0000
0.1635,1.0000
0.1640,1.0000
0.1646,1.0000
0.1651,1.0000
0.1656,1.0000
0.1661,1.0000
0.1667,1.0000
0.1672,1.0000
0.1677,1.0000
0.1682,1.0000
0.1688,1.0000
0.1693,1.0000
0.1698,1.0000
0.1704,1.0000
0.1709,1.0000
0.1714,1.0000
0.1719,1.0000
0.1725,1.0000
0.1730,1.0000
0.1735,1.0000
0.1741,1.0000
